,Unnamed: 0,Time,Username,Tweet,Polarity,Tweet_Tune,clean_tweet
0,0,2022-05-26 20:55:13+00:00,annehager,The Science Is Clear: Gun Control Saves Lives https://t.co/HWIsGn0bGG via @sciam,0.1,1,The Science Is Clear  Gun Control Saves Lives    t co HWIsGn bGG via 
1,1,2022-05-26 20:55:12+00:00,Eric_Halliday,"Anyone who backed abortion laws but isn't backing gun control after so many people have died in the last month is not pro-life. Don't fall for their bullshit. If they won't stop something that's ACTUALLY taking lives, then that's them showing their true face.",0.2125,1,Anyone who backed abortion laws but isn t backing gun control after so many people have died in the last month is not pro life  Don t fall for their bullshit  If they won t stop something that s ACTUALLY taking lives  then that s them showing their true face 
2,2,2022-05-26 20:55:12+00:00,kailuahapa,"Republican politicians keep choosing the gun lobby over kids. Greg Abbott, Ted Cruz, Kristi Noem, and Donald Trump are all still scheduled to speak at the NRA convention in Texas this weekend. #FBR #GunLobbyRepublicans https://t.co/BV7xHoZTi0",0.0,0,Republican politicians keep choosing the gun lobby over kids  Greg Abbott  Ted Cruz  Kristi Noem  and Donald Trump are all still scheduled to speak at the NRA convention in Texas this weekend  #FBR #GunLobbyRepublicans    t co BV xHoZTi 
3,3,2022-05-26 20:55:12+00:00,facts_seeking,"@dallasnews Politicians shedding crocodile tears while taking “blood money” from NRA and gun lobbyists: John Cornyn-$583k, Pete Sessions-$204k, Ted Cruz-$176k, John Carter-$48k, Kevin Brady-$42.5k, Michael McCaul-$35.8k, Kay Granger-$35k, Henry Cuellar-$31.6k, Dan Patrick-$12.5k",0.0,0, Politicians shedding crocodile tears while taking  blood money  from NRA and gun lobbyists  John Cornyn     k  Pete Sessions     k  Ted Cruz     k  John Carter    k  Kevin Brady      k  Michael McCaul      k  Kay Granger    k  Henry Cuellar      k  Dan Patrick      k
4,4,2022-05-26 20:55:12+00:00,Bubbathewhale,Yes lets vote these anti women and gun toting republicans out. https://t.co/cMTsgV5q6X,0.0,0,Yes lets vote these anti women and gun toting republicans out     t co cMTsgV q X
5,5,2022-05-26 20:55:12+00:00,withers_iii,@tedcruz So you want to overturn Roe vs. Wade to stop abortions but you don’t want to do anything about gun violence? You feckless dodo brained moron whose balls are locked away in a jar at the hands of Donald Trump. You’re gross,-0.4,-1, So you want to overturn Roe vs  Wade to stop abortions but you don t want to do anything about gun violence  You feckless dodo brained moron whose balls are locked away in a jar at the hands of Donald Trump  You re gross
6,6,2022-05-26 20:55:12+00:00,Lilac_Gene,"@Will_B45 @Shani_Chikondi @TheSavageVirgo @IsaakJCP @popfeepapi @_benjvmins_ But in retrospect, it’s easier for an adult to disarm a kid with a knife, than to disarm a kid with a gun. Plus, it’s not kids vs kids, there will be 1-2 adults in the room as well, if the kid is outnumbered, it can be easier to disarm, can’t say the same for a gun.",0.05,1,      But in retrospect  it s easier for an adult to disarm a kid with a knife  than to disarm a kid with a gun  Plus  it s not kids vs kids  there will be     adults in the room as well  if the kid is outnumbered  it can be easier to disarm  can t say the same for a gun 
7,7,2022-05-26 20:55:12+00:00,pi_mij,"This is a lie. First we have to look at over all violence not just gun. For violent crimes places like Chicago are among the worst
 Now liars like this guy will manpulate things. 2nd yes some cities in red states have crime. Most of these are blue cities. https://t.co/o9gsZytNwK",-0.15,-1,This is a lie  First we have to look at over all violence not just gun  For violent crimes places like Chicago are among the worst  Now liars like this guy will manpulate things   nd yes some cities in red states have crime  Most of these are blue cities     t co o gsZytNwK
8,8,2022-05-26 20:55:12+00:00,Allstate81130,@JoeBiden Joe forget it. Are you forget everything anyway. What is your name your first name? Dugh. It’s not the guns gun just gets up and walks down there? Help us please help us get you out of office.,0.0472222222222222,1, Joe forget it  Are you forget everything anyway  What is your name your first name  Dugh  It s not the guns gun just gets up and walks down there  Help us please help us get you out of office 
9,9,2022-05-26 20:55:12+00:00,Shelly69839779,"@JoJoFromJerz @CalltoActivism The NRA, McConnell ...all scrambling to save face of the GOP 5 months prior to midterm elections.
To little, way, way too late.
VOTE BLUE and rid the country of the stench of gun violence.",-0.121875,-1,  The NRA  McConnell    all scrambling to save face of the GOP   months prior to midterm elections  To little  way  way too late  VOTE BLUE and rid the country of the stench of gun violence 
