,Time,Username,Tweet,Polarity,Tweet_Tune
0,2022-05-26 20:55:13+00:00,annehager,The Science Is Clear: Gun Control Saves Lives https://t.co/HWIsGn0bGG via @sciam,0.10000000000000002,1
1,2022-05-26 20:55:12+00:00,Eric_Halliday,"Anyone who backed abortion laws but isn't backing gun control after so many people have died in the last month is not pro-life. Don't fall for their bullshit. If they won't stop something that's ACTUALLY taking lives, then that's them showing their true face.",0.2125,1
2,2022-05-26 20:55:12+00:00,kailuahapa,"Republican politicians keep choosing the gun lobby over kids. Greg Abbott, Ted Cruz, Kristi Noem, and Donald Trump are all still scheduled to speak at the NRA convention in Texas this weekend. #FBR #GunLobbyRepublicans https://t.co/BV7xHoZTi0",0.0,0
3,2022-05-26 20:55:12+00:00,facts_seeking,"@dallasnews Politicians shedding crocodile tears while taking “blood money” from NRA and gun lobbyists: John Cornyn-$583k, Pete Sessions-$204k, Ted Cruz-$176k, John Carter-$48k, Kevin Brady-$42.5k, Michael McCaul-$35.8k, Kay Granger-$35k, Henry Cuellar-$31.6k, Dan Patrick-$12.5k",0.0,0
4,2022-05-26 20:55:12+00:00,Bubbathewhale,Yes lets vote these anti women and gun toting republicans out. https://t.co/cMTsgV5q6X,0.0,0
5,2022-05-26 20:55:12+00:00,withers_iii,@tedcruz So you want to overturn Roe vs. Wade to stop abortions but you don’t want to do anything about gun violence? You feckless dodo brained moron whose balls are locked away in a jar at the hands of Donald Trump. You’re gross,-0.4,-1
6,2022-05-26 20:55:12+00:00,Lilac_Gene,"@Will_B45 @Shani_Chikondi @TheSavageVirgo @IsaakJCP @popfeepapi @_benjvmins_ But in retrospect, it’s easier for an adult to disarm a kid with a knife, than to disarm a kid with a gun. Plus, it’s not kids vs kids, there will be 1-2 adults in the room as well, if the kid is outnumbered, it can be easier to disarm, can’t say the same for a gun.",0.05,1
7,2022-05-26 20:55:12+00:00,pi_mij,"This is a lie. First we have to look at over all violence not just gun. For violent crimes places like Chicago are among the worst
 Now liars like this guy will manpulate things. 2nd yes some cities in red states have crime. Most of these are blue cities. https://t.co/o9gsZytNwK",-0.15,-1
8,2022-05-26 20:55:12+00:00,Allstate81130,@JoeBiden Joe forget it. Are you forget everything anyway. What is your name your first name? Dugh. It’s not the guns gun just gets up and walks down there? Help us please help us get you out of office.,0.04722222222222221,1
9,2022-05-26 20:55:12+00:00,Shelly69839779,"@JoJoFromJerz @CalltoActivism The NRA, McConnell ...all scrambling to save face of the GOP 5 months prior to midterm elections.
To little, way, way too late.
VOTE BLUE and rid the country of the stench of gun violence.",-0.121875,-1
10,2022-05-26 20:55:12+00:00,Klreagan73,"@AndrewDesiderio The only follow up question that's needed is ""
.. And why the fuck isn't he? "".  This GOP doesnt give a shit about anyone who is truly concerned by our gun crisis.",-0.20000000000000004,-1
11,2022-05-26 20:55:12+00:00,HastyRaquel,@nathaliejacoby1 Oh and the stupid destructive gun laws!,-0.7749999999999999,-1
12,2022-05-26 20:55:12+00:00,Pat_johnston,"@JimLovesLemons Hi @JimLovesLemons Ted Cruz is totally unhinged as are many republicans over gun laws. The right to bear arms supersedes everything including the rights of the child to be safe in school. 
Arm teachers, import guards, keep schools in permanent lock down but don’t touch our guns.",0.22603174603174597,1
13,2022-05-26 20:55:11+00:00,Wolf_Overland5,@jamesab89390590 @wis10 Yes! 94% of mass shootings happen in gun free zones. Only thing that stops a person with a gun is another gun.,0.2,1
14,2022-05-26 20:55:11+00:00,Danni777SD,"@KarenT570 @ej11lizzie Not to mention, at least in my experience, teachers are there to teach kids, they're nice loving caring people, not gun totting psychos",0.3,1
15,2022-05-26 20:55:11+00:00,ang3ldust_93,@OGGaygsta @BAnimosus @MKUltraMoney Your main concern was gun laws yet you make redundant comparisons of other first world countries while ignoring other factors at play like the aforementioned ones in my previous tweet. It all has to do with how the government treats it people.,-0.028571428571428574,-1
16,2022-05-26 20:55:11+00:00,7nyix,"Top Gun , tom cruise 🤍 https://t.co/lcUUnQDMIm",0.5,1
17,2022-05-26 20:55:11+00:00,steveh7212,@Zmerzette @AOC Wrong again!  Get informed about Republican refusal to pass gun control laws and the number of murders over the same time period that occured because there were no gun control laws!,-0.3125,-1
18,2022-05-26 20:55:11+00:00,JustBoo4,@shaunalex87 And you wonder why we have a gun problem.,0.0,0
19,2022-05-26 20:55:10+00:00,Giants55,"""Responsible gun owner"" https://t.co/hKXoDEcEA3",0.2,1
20,2022-05-26 20:55:10+00:00,kellielynnweeks,@PatPanActivist I know gun owners. I own hundreds of guns. It's not the guns.,0.6,1
21,2022-05-26 20:55:10+00:00,samakabforhouse,"We need IMMEDIATE congressional action on gun safety. The states’ hands are tied by lack of federal action and those in Congress beholden to the gun lobby. We need a new, comprehensive, forward-looking assault weapons ban. INACTION IS NOT AN OPTION. #BanAssultRifles",0.11212121212121212,1
22,2022-05-26 20:55:09+00:00,OnRecliner,"Nevermnd the gun control debate. What is different about our society today, as opposed to decades ago, in which kids are committing these kind of atrocities at schools? Whats different about this world? Whats different about our country?",0.15,1
23,2022-05-26 20:55:09+00:00,cathemorrhoid,"@FreddyMacWins @chicagojimmy @momma_jem @EmilyandtheG @country_ca @NoLieWithBTC if your argument is that the government is so bought out by the gun industry that they refuse to take the steps to change it, then you've hit the mark. but that isn't an amendment issue or a gun issue it's our political structure.",0.0,0
24,2022-05-26 20:55:09+00:00,William_E_Wolfe,"We pastors and Christian ethicists who are more animated about trying to take away our good right of gun ownership...

Than they are about taking away the fake, evil “right” of abortion in this nation.

Pharisees. Hypocrites. Blind guides.",-0.028571428571428567,-1
25,2022-05-26 20:55:09+00:00,TwicksRitter,@RightCoastCool @litttlesnappy Far too many American gun owners who have Rambo complexes and can’t wait to use their gun to kill someone and far too few American gun owners who respect it as a tool and hope they never have to use it.,0.08333333333333333,1
