,Time,Tweet,Polarity,Tweet_Tune
0,2022-05-25 20:08:34+00:00,"Inspired by these young leaders, @MBK_Alliance launched a Reimagining Policing Pledge for mayors and cities ready to take action. If you’re wondering how you can help make things a little better today, here are some ways to get involved: https://t.co/1E1MfT1sza",0.14250000000000002,1
1,2022-05-25 20:08:34+00:00,"In the aftermath of his murder, a new generation of activists rose up to channel their anguish into organized action, launching a movement to raise awareness of systemic racism and the need for criminal justice and police reform.",0.10909090909090907,1
2,2022-05-25 20:08:33+00:00,"As we grieve the children of Uvalde today, we should take time to recognize that two years have passed since the murder of George Floyd under the knee of a police officer. His killing stays with us all to this day, especially those who loved him.",0.35,1
3,2022-05-25 13:00:28+00:00,"RT @cspan: Senator Chris Murphy (@ChrisMurphyCT): ""The 14 kids dead in an elementary school in Texas right now. What are we doing? What are…",0.12857142857142856,1
4,2022-05-25 13:00:02+00:00,"RT @warriors: Steve Kerr on today's tragic shooting in Uvalde, Texas. https://t.co/lsJ8RzPcmC",-0.75,-1
5,2022-05-25 00:55:54+00:00,"May God bless the memory of the victims, and in the words of Scripture, heal the brokenhearted and bind up their wounds.",0.0,0
6,2022-05-25 00:55:54+00:00,"It’s long past time for action, any kind of action. And it’s another tragedy—a quieter but no less tragic one—for families to wait another day.",-0.023809523809523805,-1
7,2022-05-25 00:55:53+00:00,"We’re also angry for them. Nearly ten years after Sandy Hook—and ten days after Buffalo—our country is paralyzed, not by fear, but by a gun lobby and a political party that have shown no willingness to act in any way that might help prevent these tragedies.",-0.125,-1
8,2022-05-25 00:55:52+00:00,"Michelle and I grieve with the families in Uvalde, who are experiencing pain no one should have to bear.",0.0,0
9,2022-05-25 00:55:52+00:00,"Across the country, parents are putting their children to bed, reading stories, singing lullabies—and in the back of their minds, they’re worried about what might happen tomorrow after they drop their kids off at school, or take them to a grocery store or any other public space.",-0.041666666666666664,-1
10,2022-05-20 20:33:16+00:00,"Getting vaccinated and boosted remains one of the most important things we can do to protect ourselves and the ones we love. If you haven't already, find a shot at a vaccination location near you at https://t.co/k4jKpPT5qo.",0.375,1
11,2022-05-20 20:33:16+00:00,"We've now lost one million Americans to COVID-19. It's an unfathomable loss – these folks were our parents and grandparents, our sisters and brothers. 
https://t.co/4lsGT2FgQA",0.0,0
12,2022-05-20 20:30:40+00:00,"RT @ObamaFoundation: In the wake of the mass shooting in Buffalo, NY, a horrific act of racism and violence, on-the-ground organizations an…",-1.0,-1
13,2022-05-16 21:24:35+00:00,"It’s despicable, it’s dangerous — and it needs to stop.
https://t.co/0Ch2ZosMhB",-0.6,-1
14,2022-05-16 21:24:34+00:00,"We need to repudiate in the strongest terms the politicians and media figures who — whether for political gain or to boost ratings — have used their platforms to promote and normalize “replacement theory” and other starkly racist, anti-Semitic, and nativist conspiracy theories.",-0.10833333333333334,-1
